product_id,title,brand,category,description
0528012398,Rand McNally Road Explorer 60 GPS,Rand McNally,"GPS System Accessories > Antennas > Electronics > GPS, Finders &amp; Accessories","The Road Explorer  60 pairs award-winning navigation and advanced, commercial-grade features from the leader in truck and RV GPS, all easily visible on a large 6 screen. Included toll costs and advanced lane guidance."
0528881469,Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS,Rand McNally,"Vehicle GPS > Trucking GPS > Electronics > GPS, Finders & Accessories","**** Shipped by 2-3 DAY UNITED STATES PRIORITY MAIL *** SAME OR NEXT DAY SHIPPING !! SAME OR NEXT DAY SHIPPING !! This 700 Intelliroute GPS has been Checked, Tested and deemed to be in Excellent working order when shipped. ACCESSORIES INCLUDED WITH Rand McNally 700 TND Itelliroute GPS INCLUDES: WINDOW MOUNT,CAR/TRUCK CHARGER, and USB Cable. Item may show some normal wear on case/screen; However, this does not affect the functionality of the GPS Unit. "" SATISFACTION GUARANTEED "" "" SATISFACTION GUARANTEED "" Upon Receipt of your GPS please check it immediately and make sure it is in proper working condition. The Insurance from the shipper is only good for seven (7) days, and it is important to make sure your GPS arrives just as it leaves us. If you encounter a problem with this GPS I have others that I will Replace it with. Comes with Amazon standard Return/Refund policy, Buyer pays return shipping on Returns or Refunds. SAME OR NEXT DAY SHIPPING !! SAME OR NEXT DAY SHIPPING !! **** Shipped by 2-3 DAY UNITED STATES PRIORITY MAIL *** Like its award-winning predecessor, the IntelliRoute TND 500, the Rand McNally IntelliRoute TND 700 GPS device gives truckers much more than just maps and navigation. It offers detailed information about truck stops, rest areas, weigh stations and other points of interest for truckers, as well as tools to help drivers estimate the profitability of a route. And with its seven-inch screen and high-definition display, the IntelliRoute TND 700 redefines readability and usability. Other exclusive features include an oversized stylus, larger buttons, a louder speaker, and tools like a calendar and notepad to help professional drivers complete their routes with greater ease and efficiency. <table cellpadding=""10"" cellspacing=""0"" border=""0"" width=""280"" align=""right""> <tr> <td> <table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""280"" align=""center""> <tr> <td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call1.jpg"" border=""0"" alt=""callout box top""></td> </tr> <tr> <td background=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call2.jpg""> <table cellpadding=""5"" cellspacing=""1"" border=""0"" width=""260"" align=""left""> <tr> <td colspan=""2""> <br><center><b>IntelliRoute TND 700<br>At a glance:</b></center> <ul> <li>35-percent more truck-routing information than other GPS devices</li> <li>Seven-inch, high-definition screen</li> <li>Large buttons and powerful speaker optimized for truck cab</li> <li>Spoken turn-by-turn directions</li> <li>Quick planner tool helps determine most profitable routes</li> </ul> </td> </tr> </table> </td> </tr> <tr> <td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call3.jpg"" border=""0"" alt=""callout box bottom""></td> </tr> </table> </td> </tr> <tr> <td> <table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""280"" align=""center""> <tr> <td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call1b.jpg"" border=""0"" alt=""callout box top""></td> </tr> <tr> <td background=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call2.jpg""> <table cellpadding=""5"" cellspacing=""0"" border=""0"" width=""275"" align=""left""> <tr align=""center""> <td> <a href=""http://www.amazon.com/dp/B0042FZ6YY""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-B002DPTQ8W-acc.jpg"" border=""0""><br> 3-in-1 Charger</a><br>Charge your GPS device via in-car adapter, A/C outlet, or mini-USB port.</a> </td> </tr> </table> </td> </tr> <tr> <td><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-call3.jpg"" border=""0"" alt=""callout box bottom""></td> </tr> </table> </td> </tr> </table> <table cellpadding=""10"" cellspacing=""0"" border=""0"" width=""280"" align=""left""> <tr> <td> <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-2-l.jpg"" onClick=""window.open(this.href,null,'width=620,height=572'); return false;""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-2-s.jpg"" border=""0"" alt=""IntelliRoute TND 700""></a> <center><br><font size=""1""><em><b>Seven-inch, high-definition screen optimized for truck cab. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-2-l.jpg"" onClick=""window.open(this.href,null,'width=620,height=572'); return false;"">View larger</a>.</b></em></font></center> </td> </tr> <tr> <td> <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-5-l.jpg"" onClick=""window.open(this.href,null,'width=620,height=506'); return false;""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-5-s.jpg"" border=""0"" alt=""IntelliRoute TND 700""></a> <center><br><font size=""1""><em><b>Features large buttons, powerful speaker, and a stylus. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-5-l.jpg"" onClick=""window.open(this.href,null,'width=620,height=506'); return false;"">View larger</a>.</b></em></font></center> </td> </tr> </table> <b>Large, Seven-Inch Display and Powerful Speaker</b><br> The IntelliRoute TND 700 sets itself apart from other GPS devices with its large, seven-inch, high-definition screen, over-sized buttons, and stylus--all of which are designed specifically for a truck cab. And unlike GPS devices designed for passenger cars, this truck navigation unit has a speaker that is twice as powerful as typical car speakers, amplifying the sound above cab noise so spoken directions come through loud and clear. <b>35-Percent More Truck-Route Information</b><br> Even before your truck has started, you can determine the best route to take by entering your truck's length, width, weight, height, and HazMat information. The IntelliRoute TND 700 has 35-percent more truck routing information than other GPS units. Enter as many as 10 stops and use the device's preferences tools to pass up tolls and construction without missing weigh stations, rest areas, or repair services. Connect the included USB cable to a Windows-compatible computer with internet connection for free updates including road construction. The IntelliRoute TND 700 provides turn-by-turn directions with spoken street names. The patented Smart-Time feature calculates the local time as well as the time at your destination--handy when traveling across multiple time zones. Included in the IntelliRoute TND 700 is searchable truck-stop information from The Trucker's Friend National Truck Stop Directory. You can find the nearest truck stop or search more than 70 amenities like showers, restaurants, Wi-Fi, and more! <b>Customized Trucker Business Tools</b><br> Loaded with all of the innovative tools featured in the IntelliRoute TND 500, the IntelliRoute TND 700 introduces more tools vital for truckers. A new calendar feature helps you keep track of important appointments and dates. Also, you can keep all of your reminders and notes together in the same place with the handy notepad feature. Drivers can reduce time-consuming manual calculations with the IntelliRoute TND 700. Drivers can track miles driven in every U.S. state or Canadian province for organized bookkeeping and fuel-tax reporting. User-set timers and logs keep track of driving time and time on duty. The IntelliRoute TND 700 was designed to partner with America's #1 trucker's atlas. Drivers can cross-reference to the page and grid of the Rand McNally Motor Carriers' Road Atlas. The Quick Planner tool helps determine the profitability of routes. A commercial-grade address book organizes thousands of entries, and allows you to group them the way that works best for you. With so many helpful tools, off-duty truckers may find themselves switching the IntelliRoute TND 700 to car mode and bringing it along for family trips. The IntelliRoute TND 700 is backed by a one-year parts-and-labor warranty. <b>What's in the Box</b><br> IntelliRoute TND 700, windshield mount, truck charger with extended length cable, 120/240V home charger, quick start guide, and USB cable. <br clear=""all""> <table cellpadding=""6"" cellspacing=""1"" border=""0"" width=""700"" align=""center"" bgcolor=""#1A1A1A""> <tr bgcolor=""#FFFFFF""> <td align=""center""> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-logo.jpg"" border=""0"" alt=""Rand McNally Logo""><br> </td> <td align=""center""> <a href=""http://www.amazon.com/dp/B002OB49TQ""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-thumb1.jpg"" border=""0"" alt=""IntelliRoute TD500""></a> </td> <td align=""center""> <a href=""http://www.amazon.com/dp/0528881469""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-IntelliRoute-thumb2.jpg"" border=""0"" alt=""IntelliRoute TD700""></a> </td> </tr> <tr align=""center""> <td bgcolor=""#ACACAC""><b>Features</b></td> <td bgcolor=""#F58220""><b>IntelliRoute TND 500</b> <br><font size=""1"">Truck navigation you can trust</font> </td> <td bgcolor=""#80b33d""><b>IntelliRoute TND 700</b> <br><font size=""1"">Redefining truck navigation</font> </td> </tr> <tr bgcolor=""#FFFFFF""> <td>Screen size</td> <td align=""center"">5""</td> <td align=""center"">7""</td> </tr> <tr bgcolor=""#EBEBEB""> <td>Truck-specific routing</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Searchable truck stop services</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Standard map detail</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Multi-stop route optimization</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Car mode</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Access to updates and upgrades via TND Dock*</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Commercial-grade address book</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Timers & Logs</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Truck stop ratings</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Junction view 3-D</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Full U.S. & Canada Maps</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Qwerty keyboard</td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-orange.png"" alt=""Check Mark"" border=""0""></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Enhanced map detail**</td> <td></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>High-definition screen</td> <td></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Oversized stylus</td> <td></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#FFFFFF""> <td>Calendar</td> <td></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#EBEBEB""> <td>Notepad</td> <td></td> <td align=""center""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page2/c26-checkmark-green.png"" alt=""Check Mark"" border=""0""></td> </tr> <tr bgcolor=""#ACACAC""> <td colspan=""3""><font size=""1"">* Updates and upgrades via TND Dock require a Windows PC and internet connection.<br> ** Map detail enabled by larger, high-definition screen</font> </td> </tr> </table> <br clear=""all"">"
0545205719,Microsoft MultiMedia Keyboard 1.0A KB-0168,Microsoft,Electronics > Computers &amp; Accessories > Numeric Keypads > Computer Accessories &amp; Peripherals > Input Devices,Microsoft MultiMedia Keyboard 1.0A KB-0168
0594017424,Barnes &amp; Noble Smith Quote E-reader Cover (In Walnut),Barnes & Noble,eBook Readers & Accessories > Electronics > Covers,"Wrapped in Italian synthetic leather with a luxuriously soft finish, this finely crafted cover has the look and feel of a rare volume in a connoisseur's library. Emphasizing its literary inspiration, the cover features an embossed quote from the 19th-century Scottish poet Alexander Smith: ""Books are a finer world within the world."" Inside the front cover, you'll find a generous vertical pocket, plus a pair of small business card pockets. The rest of the interior is lined in a charcoal sueded material that's both durable and gentle on your NOOK. An engineered bar clip mechanism holds your device securely while allowing easy access to the charging port and control buttons. An embossed ""n"" logo on the back of the cover adds a final accent. Our covers have a power button activator built into the construction, so you can activate your device without removing the cover. To power your device on or off, simply push the ""n"" logo on the back of the cover."
059403390X,Barnes &amp; Noble BP-01-C01-N2-1 Industriell Cover,Barnes & Noble,"Tablet Accessories > Computers & Accessories > Bags, Cases & Sleeves > Electronics","New unused in factory packaging, NOOK ""color"" cover for Nook. Color Black. Shipping to mainland USA only."
0594450268,"Nook Hd + 9-Inch Groovy Protective Stand Cover, Storm Gray",Nook,"Cases > Electronics > Bags, Cases &amp; Sleeves > Computers &amp; Accessories > Tablet Accessories","Nook HD protective stand cover slim, smart and lightweight. This ingenious cover is the perfect choice for protecting your NOOK HD+. The polyurethane exterior, accented by a subtle ""nook"" logo, is both strong and smooth to the touch, inside, a plastic shell cradles your device while offering full access to the controls. But that's only part of the story. An articulation on the front cover allows you to fold it back and tuck the edge into the metallic clip on the back of the case. Made for Nook 9-Inch NOOK HD+ Tablet."
0594287995,Kate Spade Rain or Shine Magazine Cover for Nook Simple Touch,Barnes & Noble,eBook Readers & Accessories > Electronics > Covers,
0594296420,Barnes &amp; Noble Power Adapter for Nook Simple Touch,Barnes &amp; Noble,"Batteries, Chargers &amp; Accessories > AC Adapters > Electronics > Accessories &amp; Supplies","If you prefer to charge your nook simple touch directly from the wall rather than your computer, this compact kit is the ideal accessory. The compact adapter, accented by an embossed ""nook"" logo, mates securely with the wall outlet."
0594467942,Nook Anti-Glare Screen Protector Kit Genuine Barnes and Noble,Barnes & Noble,eBook Readers & Accessories > Screen Protectors > Electronics,"The Anti-Glare Screen Protector Kit has a specially formulated matte finish that resists both glare and fingerprints; it also protects your screen against scratches, dust, and dirt. Easy to apply and remove, the film leaves no residue on LCD screens. The kit contains 2 pieces of film and a microfiber cloth."
0594450659,"AntiGlare Screen Film Kit for NOOK HD Anti-glare screen protection 7""",Barnes &amp; Noble,Screen Protector Foils > Electronics > Digital Camera Accessories > Accessories > Camera &amp; Photo,"The Anti-Glare Screen Protector Kit has a specially formulated matte finish that resists both glare and fingerprints; it also protects your screen against scratches, dust, and dirt. Easy to apply and remove, the film leaves no residue on LCD screens. The kit contains 2 pieces of film and a microfiber cloth. Kit contains 2 pieces of protective film and a microfiber cloth Suitable for NOOK HD and other 7"" e-readers/tablets Instructions included Designed for Barnes &amp; Noble Imported"
0594467926,Barnes and Noble 2-Way Cover Stand for Smasung Galaxy Tab 4 - Violet (54495),Barnes & Noble,eBook Readers & Accessories > Electronics > Stands,"The 2-Way Cover Stand features a smooth but durable leather like material exterior and a non-slip rubberized lining. An elastic band nested in the back cover can be looped over the front to keep the case closed; hidden magnets secure the front cover when you fold it back. Inside, a 3-point clip mechanism holds your tablet securely while offering easy access to the ports and controls. The inner clip has a rubberized foot, which provides for stability as you convert the cover into a stand and view your device in landscape mode at multiple angles. For portrait mode, just pull out the interior front panel to create a sturdy easel. The 2-Way Cover Stand is accented by embossed &quot;n&quot; logos on the front cover and the interior front panel; an embossed &quot;nook&quot; logo decorates the back. The 3-point clip allows for easy access to the buttons, headphone jack, microSD slot, and the charging port. There is also an opening in the back cover for the devices camera."
0594482097,NOOK HD 7 inch Protective 360 Stand Cover Red,Nook,"Cases > Electronics > Bags, Cases &amp; Sleeves > Computers &amp; Accessories > Tablet Accessories",NOOK HD 7 inch Protective 360 Stand Cover Red
0594484332,Groovy Stand For Barnes &amp; Noble Nook HD in Orange 9780594484332,Barnes & Noble,"Computers & Accessories > Cases > Electronics > Bags, Cases & Sleeves > Tablet Accessories",Fits Nook HD 7-inch. Bright orange. Cover has built-in stand.
059449771X,Barnes &amp; Noble Replacement Charging Sync Cable for Nook HD and HD+ (5 Feet),Barnes & Noble,eBook Readers & Accessories > Power Cables > Electronics,Genuine Replacement Cable Specifically designed for the Barns &amp; Noble Nook HD and HD+
0594513170,Nook HD 7&quot; Lautner Cover Chocolate Fits 7&quot; Nook HD Brand New,Nook,eBook Readers & Accessories > Electronics > Covers,NEW
059451343X,Barnes &amp; Noble Jonathan Adler Scales Cover Nook HD Protective Cover,HD,eBook Readers & Accessories > Electronics > Covers,Nook cover for '7' inch
0594451647,Barnes &amp; Noble HDTV Adapter Kit for NOOK HD and NOOK HD+,Barnes &amp; Noble,Tablet Accessories > Computers &amp; Accessories > Electronics > Chargers &amp; Adapters,"HDTV Adapter Kit for NOOK HD and NOOK HD+
This handy kit enables you to stream content from your NOOK HD or NOOK HD+ to a high-definition TV, via the included adapter and High Speed HDMI Cable. The kit also includes a pass-through that allows you to charge your NOOK while streaming, so there's no danger of running out of battery power before you're done. (A compatible NOOK Power Kit is required for this function and is not included with the adapter kit.)"
0594515939,nook Charging Dock,Nook,eBook Readers & Accessories > Power Adapters > Electronics,"Overview From Manufactorer:
This charging dock is the perfect way to keep your NOOK HD or NOOK HD+ powered up at all times. It features a retractable connector that allows you to rotate your NOOK 90 degrees, making it easy to switch from portrait to landscape mode, perfect for watching HD movies. Designed for use with the NOOK Power Kit (9780594481904) (not included), a built-in LED indicator glows orange while charging is in progress and turns green when charging is complete. There is also a line-out audio port that allows you to connect your NOOK to your stereo."
0594514789,Nook Vara Stylus: Pink,Barnes &amp; Noble,Tablet Accessories > Computers &amp; Accessories > Electronics,"Length: 5.75; Molded plastic body, capacitive rubber tip Suitable for NOOK HD, NOOK HD+, NOOK GlowLight, and NOOK Simple Touch only"
0594549507,Groovy Protective Stand Cover: Custom Designed for 7-inch NOOK HD: Vine Color,Barnes & Noble,eBook Readers & Accessories > Electronics > Covers,7 inch nook protective cover
