,product_id,title,brand,category,description,price
10,071803936X,JESS TE LLAMA (Spanish Edition) (Spanish) Imitation Leather,Sarah Young,Electronics > Headphones,Jesus te llama Encuentra Paz En Su Presencia,$42.48
11,0777700018,"65W/90W DC Car Charger for Dell Inspiron, Latitude, Studio, Vostro &amp; XPS Laptops (Lifetime Warranty, Bulk Packaging)",Gator Crunch,Electronics > Computers &amp; Accessories > Laptop Accessories > Chargers &amp; Adapters,,
12,0786654244,The Jerry Reed Collection,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br />With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster &amp; stable signal, clearer sound quality and lower power consumption.<br /><br /><b>Sweat Proof Protection:</b><br />IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br /><br /><b>Long Battery Life:</b><br />Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br /><br /><b>Stylish and Ergonomic Design:</b><br />With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br /><br /><b>Universally Compatible:</b><br />Works with all bluetooth enabled devices.",
13,0789743035,My MacBook,Visit Amazon's John Ray Page,Electronics > Computers &amp; Accessories > Computers &amp; Tablets,<b> </b>,
14,0789743965,My Google Chromebook,Visit Amazon's Michael Miller Page,Electronics > Computers &amp; Accessories > Computers &amp; Tablets,,
15,0957456808,Geometric Beadwork (Volume 1),Visit Amazon's Jean Power Page,Electronics > Headphones,,$45.00
16,0962995428,Craftsman Bungalows,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br>With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster & stable signal, clearer sound quality and lower power consumption.<br><br><b>Sweat Proof Protection:</b><br>IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br><br><b>Long Battery Life:</b><br>Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br><br><b>Stylish and Ergonomic Design:</b><br>With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br><br><b>Universally Compatible:</b><br>Works with all bluetooth enabled devices.",
17,0970408374,Architech Prestige Ps-601 6.5-Inch Kevlar Ceiling Speakers,ARCHITECH PRESTIGE,Electronics > Home Audio > Speakers > Ceiling &amp; In-Wall Speakers,6.5-Inch Kevlar ceiling speakers with butyl rubber surround.,
18,0972283315,Tell Me Something About Buddhism,Fitquipment,Electronics > Headphones,,
19,0981782930,"DINOSAURS, DRAGONS &amp; DRAMA  The Odyssey of a Trickfilmmaker  An Illustrated Memoir (Volume 1: The Outward Journey)",Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br />With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster &amp; stable signal, clearer sound quality and lower power consumption.<br /><br /><b>Sweat Proof Protection:</b><br />IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br /><br /><b>Long Battery Life:</b><br />Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br /><br /><b>Stylish and Ergonomic Design:</b><br />With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br /><br /><b>Universally Compatible:</b><br />Works with all bluetooth enabled devices.",
20,0983629269,Bluetooth Workout Headphones for Running and Gym with Wireless Earbuds and Built in Mic for Hands Free Calling by Arena Club,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br />With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster &amp; stable signal, clearer sound quality and lower power consumption.<br /><br /><b>Sweat Proof Protection:</b><br />IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br /><br /><b>Long Battery Life:</b><br />Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br /><br /><b>Stylish and Ergonomic Design:</b><br />With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br /><br /><b>Universally Compatible:</b><br />Works with all bluetooth enabled devices.",
21,0984264108,Tactical Girls 2010 Gun Calendar,HBL Productions,Electronics > Headphones,"(2009 Calendar) Interesting guns, with complete specs and a lot of interesting military trivia. Also I am not sure how you get an M60 machine gun outside the military, but this calendar has one, along with some really fantastic models. Overall, very tasteful and really well done. If you are a gun guy and like beautiful girls, then this is the ticket. --Amazon.com 2009 Calendar<br /><br />(2008 Calendar): I have really never seen anything like it- the pics of the girls are great- looks like they made an effort to be tactically accurate, but the trivia information and gun specs were an unexpected surprise. It is like the old joke about Playboy, the pictures are great, but I really like the articles too. --Amazon.com from 2008 calendar --Amazon.com 2008 Calendar<br /><br />I got this for Christmas the first year they did it and liked it enough that I bought a couple this year for my buddies for xmas just to spread the cheer around. Looking forward to 2010. --Amazon.com 2009 Calendar The Tactical Girls Team has access to an inventory of over $3 million worth of class III weapons and other exotic military guns. We produce a tastefully done calendar with top notch graphic design and high production standards. Our calendar is inspired by the strong female action heroes portrayed by Angelina Jolie, Carrie-Ann Moss and Milla Jovovich- much more than just pretty girl in a bikini with a gun.",
22,0985262788,Bluetooth Workout Headphones for Running and Gym with Wireless Earbuds and Built in Mic for Hands Free Calling by Arena Club,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br />With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster &amp; stable signal, clearer sound quality and lower power consumption.<br /><br /><b>Sweat Proof Protection:</b><br />IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br /><br /><b>Long Battery Life:</b><br />Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br /><br /><b>Stylish and Ergonomic Design:</b><br />With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br /><br /><b>Universally Compatible:</b><br />Works with all bluetooth enabled devices.",
23,1059130262,Slim Amazon Kindle Fire HD 2013 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Amazon Kindle Fire HD 2013 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
24,1059132087,Slim Acer iconia A1-830 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Acer iconia A1-830 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
25,1059135159,Slim Kurio 10s Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Kurio 10s Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
26,1059134365,Slim Asus MeMO Pad HD 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Asus MeMO Pad HD 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
27,1059135140,Slim Kurio 7s Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Kurio 7s Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
28,1059131625,Slim Amazon Kindle Fire HDX 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Amazon Kindle Fire HDX 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),$10.47
29,1059557606,Professional Verizon Wireless Ellipsis 7 Tablet Folding Blade Wall Charger!,Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Professional Verizon Wireless Ellipsis 7 Tablet Folding Blade Wall Charger!,
30,1059723875,"Travel Amazon Kindle Fire HDX 7 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",Hightech,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"Travel Amazon Kindle Fire HDX 7 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",$9.77
31,1059813785,Amazon Kindle Fire HD 8.9 4G LTE (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HD 8.9 4G LTE (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
32,1059947811,Amazon Kindle Fire HDX 7 POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HDX 7 (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
33,1059133954,Slim Verizon Wireless Ellipsis 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Verizon Wireless Ellipsis 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),$10.47
34,1059960338,Amazon Kindle Fire HD 7 POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HD 7 (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
35,105997231X,Motorola DROiD MAXX POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers & Accessories > Computer Accessories & Peripherals > Cables & Interconnects > USB Cables,Motorola DROiD MAXX (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),$6.85
36,1059977338,Motorola DROiD Ultra POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Motorola DROiD Ultra (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
37,1059130645,Slim Asus Transformer Book T100TA Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Asus Transformer Book T100TA Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
38,1059983249,Amazon Kindle Fire HD (2013) POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HD (2013) (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
39,1059983257,Amazon Kindle Fire HDX 7 POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HDX 7 POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,
40,105994992X,Amazon Kindle Fire HDX 8.9 POWERED (OTG) Micro-USB to USB 2.0 Adapter High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go with Power Port!,Wireless Solutions,Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Cables &amp; Interconnects > USB Cables,Amazon Kindle Fire HDX 8.9 (OTG) Micro-USB to USB 2.0 Right Angle Adapter for High Speed Data-Transfer Cable for connecting any compatible USB Accessory/Device/Drive/Flash/ and truly On-The-Go! (Black),
41,1060119811,"PREMIUM USB Adapter Power Kit for Acer Iconia One 7 B1-730 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)",Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"PREMIUM USB Adapter Power Kit for Acer Iconia One 7 B1-730 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)  This Factory Direct product is from the actual manufacturer, sometimes it's sourced one stage before logo application. They are authentic, original, but this is how we deliver you a 100% quality item, at a FRACTION of the cost!",
42,1060293331,Slim Alcatel OneTouch PIXI 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers & Accessories > Tablet Accessories > Chargers & Adapters,Slim Alcatel OneTouch PIXI 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
43,1060296578,Slim Toshiba Excite 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Toshiba Excite 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
44,1060117010,"PREMIUM USB Adapter Power Kit for Asus MeMO Pad HD 7 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)",Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"PREMIUM USB Adapter Power Kit for Asus MeMO Pad HD 7 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)  This Factory Direct product is from the actual manufacturer, sometimes it's sourced one stage before logo application. They are authentic, original, but this is how we deliver you a 100% quality item, at a FRACTION of the cost!",
45,1060188821,"Travel Alcatel OneTouch POP 7 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",Hightech,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"Travel Alcatel OneTouch POP 7 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",$9.77
46,1060295806,Slim Alcatel OneTouch POP 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers & Accessories > Tablet Accessories > Chargers & Adapters,Slim Alcatel OneTouch POP 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
47,1060117460,"PREMIUM USB Adapter Power Kit for Toshiba Encore Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)",Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"PREMIUM USB Adapter Power Kit for Toshiba Encore Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)  This Factory Direct product is from the actual manufacturer, sometimes it's sourced one stage before logo application. They are authentic, original, but this is how we deliver you a 100% quality item, at a FRACTION of the cost!",
48,1060116421,"PREMIUM USB Adapter Power Kit for Amazon Kindle Fire HDX 8.9 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)",Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"PREMIUM USB Adapter Power Kit for Amazon Kindle Fire HDX 8.9 Tablet Micro-USB! Includes : (1) Charging USB 2.0 Data Cable, (1) USB Car Charger Adapter, (1) USB Folding Blade Wall Charger. (550ma-1A)  This Factory Direct product is from the actual manufacturer, sometimes it's sourced one stage before logo application. They are authentic, original, but this is how we deliver you a 100% quality item, at a FRACTION of the cost!",
49,1060296586,Slim Verizon Wireless Ellipsis 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers & Accessories > Tablet Accessories > Chargers & Adapters,Slim Verizon Wireless Ellipsis 7 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
50,1060295830,Slim Amazon Kindle Fire HD (2013) Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Slim Amazon Kindle Fire HD (2013) Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
51,1060292955,Slim Acer Iconia One 7 B1-730 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),Wireless Solutions,Electronics > Computers & Accessories > Tablet Accessories > Chargers & Adapters,Slim Acer Iconia One 7 B1-730 Tablet Standard LED Wall Home Charger! AC / 110V-240V (Black),
52,1060186993,"Travel LG G Pad 7.0 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",Hightech,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"Travel LG G Pad 7.0 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",$9.77
53,1060714639,Genuine 1A Amazon Kindle Fire HDX 8.9 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Genuine 1A Amazon Kindle Fire HDX 8.9 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
54,1060710900,Genuine 1A Google Nexus 7 (2013) Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Genuine 1A Google Nexus 7 (2013) Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
55,1060803623,Genuine 1A Acer Iconia One 7 B1-730 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Genuine 1A Acer Iconia One 7 B1-730 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
56,1060803267,Genuine 1A LG G Pad 10.1 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Genuine 1A LG G Pad 10.1 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
57,1060997754,Genuine 1A Acer iconia B1-720 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers & Accessories > Tablet Accessories > Chargers & Adapters,Genuine 1A Acer iconia B1-720 Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
58,106099948X,Genuine 1A Kurio 4s Touch Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),Factory Direct,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,Genuine 1A Kurio 4s Touch Tablet Quick Charger with Detachable High Power Micro-USB 2.0 Data Sync Cable! (110v-240v),
59,1059726548,"Travel Acer iconia A1-830 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",Hightech,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"Travel Acer iconia A1-830 Tablet Wall Charger is digitally controlled for Fast Acting Charging, Slim, and Completely Portable! (BLACK / 1 Amp)",
